id,name,owner,capacity,fuel,year
363,KW Wyhlen,Energiedienst AG,37.9,Hydro,1912
364,Jochenstein,Innwerk AG,66.0,Hydro,1955
365,,Acciona Energie Windparks Deutschland GmbH,10.0,Wind,2006
366,,,11.6,Wind,2002
367,,Windpark Niedere Börde GmbH & Co. KG,12.0,Wind,2006
368,,Windpark Großberndten GmbH & Co. KG c/o Deutsche Structured Finance GmbH,21.9,Wind,2003
369,Spitzenlastkraftwerk Sermuth,envia THERM GmbH,17.0,Oil,1995
370,,Windpark Timmeler Kampen II/Reidenweg GmbH & Co. KG,23.9,Wind,1998
371,,,11.8,Wind,1995
372,,AOS WP Bissel GmbH & Co KG,10.8,Wind,2000
373,Spitzenlastkraftwerk Großkayna,envia THERM GmbH,120.0,Oil,1994
374,Staudinger,Uniper Kraftwerke GmbH ,572.0,Gas,1977
375,Staudinger,Uniper Kraftwerke GmbH ,249.0,Coal,1965
376,Staudinger,Uniper Kraftwerke GmbH ,293.0,Coal,1970
377,Staudinger,Uniper Kraftwerke GmbH ,510.0,Coal,1992
378,Ingolstadt,Uniper Kraftwerke GmbH ,386.0,Oil,1973
379,Ingolstadt,Uniper Kraftwerke GmbH ,386.0,Oil,1974
380,EEW Großräschen,EEW Energy from Waste Großräschen GmbH,23.3,Waste,2007
381,Kernkraft Gundremmingen ,RWE Power AG,1284.0,Nuclear,1984
382,Kernkraft Gundremmingen ,RWE Power AG,1288.0,Nuclear,1984
383,,Windpark Altmark GmbH & Co. Infrastruktur KG,32.0,Wind,2006
384,KWK Gütersloh,Pfleiderer Gütersloh GmbH,12.1,Biomass,2000
385,Energiezentrum Mohn Media,Mohn Media Mohndruck GmbH,25.0,Gas,1994
386,Windpark Hartenfelser Kopf,Breeze Two Energy GmbH & Co. KG,26.0,Wind,2006
387,Biomasse-Verstromungs-Anlage,Mark-E AG,20.0,Biomass,2004
388,Heizkraftwerk Hagen-Kabel,Mark-E AG,230.0,Gas,1980
389,,Umspannwerke Druxberge GmbH & Co. KG c/o Windstrom GmbH,82.7,Wind,1999
390,,Windpark Freyenstein-Halenbeck GmbH & Co. KG,18.0,Wind,2006
391,HKW Halle Trotha,EVH GmbH,97.0,Gas,2005
392,HKW Halle Trotha,Heizkraftwerk Halle-Trotha GmbH,56.1,Gas,2013
393,,,19.8,Wind,2003
394,Duisburg Hamborn 3,ThyssenKrupp Steel Europe AG,59.0,Other,1958
395,Duisburg Hamborn 4,ThyssenKrupp Steel Europe AG,101.0,Other,1976
396,Duisburg Hamborn 5,ThyssenKrupp Steel Europe AG,225.0,Other,2003
397,MVR Müllverwertung Rugenberger Damm GmbH & Co. KG,MVR Müllverwertung Rugenberger Damm GmbH & Co. KG,24.0,Waste,1999
398,Müllverwertung Borsigstraße MVB,Müllverwertung Borsigstraße GmbH,20.0,Biomass,2005
399,GuD Tiefstack,Wärme Hamburg GmbH,127.0,Gas,2009
400,Heizkraftwerk,ADM Hamburg Aktiengesellschaft,22.5,Gas,1993
401,Tiefstack,Wärme Hamburg GmbH,194.0,Coal,1993
402,Wedel,Wärme Hamburg GmbH,123.0,Coal,1962
403,Wedel,Wärme Hamburg GmbH,137.0,Coal,1961
404,,,12.0,Wind,2009
405,Windpark Hamburg,Windpark GmbH & Co. Hamburg KG,12.0,Wind,2009
406,,,12.2,Wind,1995
407,Enertec Hameln,Enertec Hameln GmbH,13.2,Waste,1913
408,Enertec Hameln,Enertec Hameln GmbH,14.5,Biomass,2002
409,,Windpark Hamersen GmbH & Co. KG,18.0,Wind,2007
410,Trianel Gaskraftwerk ,Trianel Gaskraftwerk Hamm GmbH & Co. KG ,407.0,Gas,2008
411,Trianel Gaskraftwerk ,Trianel Gaskraftwerk Hamm GmbH & Co. KG ,410.0,Gas,2008
412,Westfalen,RWE Generation SE,284.0,Coal,1969
413,Westfalen,RWE Generation SE,765.0,Coal,2014
414,Westfalen,RWE Generation SE,763.7,Coal,2014
415,Westfalen,RWE Generation SE,152.0,Coal,1963
416,Westfalen,RWE Generation SE,152.0,Coal,1963
417,Windpark Handewitt,Denker & Wulf AG,10.8,Wind,1996
418,EEW Energy from Waste Hannover GmbH,EEW Energy from Waste Hannover GmbH,22.5,Waste,2005
419,GKL,enercity AG,230.0,Gas,1998
420,KWH,enercity AG,102.0,Gas,1975
421,GKH,enercity AG,136.0,Coal,1989
422,GKH,enercity AG,136.0,Coal,1989
423,Happurg,Uniper Kraftwerke GmbH ,160.0,Hydro,1958
424,Windparks Schwanebeck und Wulferstedt,WP Schwanebeck u. Wulferstedt Infrastruktur GbR,30.0,Wind,2003
425,Windparks Gröningen und Wegeleben,Windpark Wegeleben GmbH & Co. KG und Wind Am Speckberg GmbH,28.0,Wind,2006
426,,Raiffeisenwindpark Haselünne Flechum GmbH & Co. KG,19.5,Wind,1999
427,Häusern,Schluchseewerk Aktiengesellschaft,100.0,Hydro,1931
428,Kraftwerk Hausham,Peissenberger Kraftwerksgesellschaft mbH,23.4,Oil,1982
429,Kraftwerk Hausham,Peissenberger Kraftwerksgesellschaft mbH,23.4,Oil,1982
430,Kraftwerk Hausham,Peissenberger Kraftwerksgesellschaft mbH,23.4,Oil,1982
431,Kraftwerk Hausham,Peissenberger Kraftwerksgesellschaft mbH,23.4,Oil,1982
432,Windfarm Heckelberg-Breydin,Windpark Heckelberg-Breydin GmbH & Co. KG,27.0,Wind,2005
433,Windfarm Heckelberg-Breydin,,10.0,Wind,2004
434,Heizkraftwerk Heilbronn,EnBW Energie Baden-Württemberg AG,125.0,Coal,1965
435,Heizkraftwerk Heilbronn,EnBW Energie Baden-Württemberg AG,125.0,Coal,1966
436,Heizkraftwerk Heilbronn,EnBW Energie Baden-Württemberg AG,778.0,Coal,1985
437,,,18.0,Wind,2004
438,,GVK Windpark Hellenthal GmbH & Co. KG WKA Oberreifferscheid Süd,10.2,Wind,2001
439,TRV Buschhaus,EEW Energy from Waste Helmstedt GmbH,37.5,Waste,1999
440,Buschhaus,Helmstedter Revier GmbH,352.0,Coal,1985
441,WP Treue/Treue Ost,E.ON Climate & Renewables GmbH,15.8,Wind,2007
442,,NEIF (Merinda Windpark) GmbH & Co. KG,12.0,Wind,2003
443,Cuno Heizkraftwerk Herdecke,Mark-E AG / Statkraft Markets,417.0,Gas,2007
444,Koepchenwerk,RWE Power AG,165.0,Hydro,1989
445,Wintershall,K+S AG,69.0,Gas,2009
446,Mehringer Höhe,juwi Beteiligungs GmbH & Co. Naturpower 10KG ,22.3,Wind,2005
447,KW Herne,Steag GmbH,133.0,Coal,1963
448,Shamrock,Uniper Kraftwerke GmbH ,132.0,Coal,1957
449,KW Herne,Steag GmbH,280.0,Coal,1966
450,KW Herne,Steag GmbH,449.0,Coal,1989
451,Heynitz,Breeze Four Energy GmbH & Co. KG,20.3,Wind,2002
452,,Windpark Hinte GmbH & Co. Ost KG,13.2,Wind,2001
453,,,26.0,Wind,2006
454,,Anlagenbetreiber Windpark Ohe/Höfer deanBV Verwaltungs-GmbH,11.5,Wind,2002
455,Windpark Hohen Pritz,Windpark Hohen Pritz GbR,21.0,Wind,2001
456,Windpark Krusemark,Theolia Naturenergien GmbH,12.0,Wind,2005
457,KWM,Kraftwerk Mehrum GmbH,690.0,Coal,1979
458,Hohenwarte 1,Vattenfall Wasserkraft GmbH,59.8,Hydro,1959
459,Hohenwarte 1,Vattenfall Wasserkraft GmbH,,Hydro,1959
460,Hohenwarte 2,Vattenfall Wasserkraft GmbH,317.8,Hydro,1965
461,Hohenwarte 2,Vattenfall Wasserkraft GmbH,,Hydro,1965
462,Hohenwarte 2,Vattenfall Wasserkraft GmbH,,Hydro,1965
463,Hohenwarte 2,Vattenfall Wasserkraft GmbH,,Hydro,1966
464,Hohenwarte 2,Vattenfall Wasserkraft GmbH,,Hydro,1965
465,Hohenwarte 2,Vattenfall Wasserkraft GmbH,,Hydro,1966
466,Hohenwarte 2,Vattenfall Wasserkraft GmbH,,Hydro,1966
467,Hohenwarte 2,Vattenfall Wasserkraft GmbH,,Hydro,1966
468,,Windpark Westerwald GmbH,18.0,Wind,2004
469,,Germania Windpark GmbH & Co KG,24.6,Wind,1996
470,,PROKON Regenerative Energien eG,20.0,Wind,2007
471,,GHP Glunz  Holzwerkstoffproduktion GmbH,,Biomass,
472,Windpark Horst,PROKON Regenerative Energien eG,10.4,Wind,1999
473,Huckingen,Hüttenwerke Krupp Mannesmann GmbH,303.0,Other,1976
474,Huckingen,Hüttenwerke Krupp Mannesmann GmbH,303.0,Other,1977
475,,,25.6,Wind,2002
476,,WKN Windkraft Nord GmbH & Co. Windpark Huje KG ,21.45,Wind,2000
477,Goldenberg,RWE Power AG,40.0,Coal,1992
478,Goldenberg,RWE Power AG,,Coal,1993
479,Goldenberg,RWE Power AG,45.0,Coal,1993
480,Ville/Berrenrath,RWE Power AG,98.0,Coal,1917
481,RAG Anthrazit Ibbenbüren GmbH,RAG Anthrazit Ibbenbüren GmbH,33.4,Gas,2000
482,Ibbenbüren,RWE Generation SE,794.0,Coal,1985
483,Rheinkraftwerk Iffezheim,Rheinkraftwerk Iffezheim GmbH,148.0,Hydro,1978
484,Windpark Ihlow,Enercon Windpark GmbH & Co. Ihlow KG,58.1,Wind,1999
485,WP Ihlow,Enercon Windpark GmbH & Co. Ihlow KG,15.0,Wind,2000
486,KW Imst,TIWAG-Tiroler Wasserkraft AG,89.0,Hydro,1956
487,ADS-Anlage,Infraserv GmbH & Co. Höchst KG,96.5,Gas,2012
488,Heizkraftwerk,Infraserv GmbH & Co. Höchst KG,66.0,Coal,1989
489,Heizkraftwerk,Infraserv GmbH & Co. Höchst KG,86.0,Gas,2003
490,,Boehringer Ingelheim Pharma GmbH & Co. KG,12.4,Biomass,2004
491,,UWB Umspannwerk Betriebsgesellschaft Sallentin mbH,27.0,Wind,2003
492,HKW Jena,TEAG Thüringer Energie AG,182.0,Gas,1996
493,KW Jenbach,TIWAG-Tiroler Wasserkraft AG,79.0,Hydro,1927
494,,Windpark Jever GbR,12.2,Wind,2002
495,,Windpark Jülicher Land GmbH,9.5,Wind,2005
496,Windpark Jülicher Börde,MVV Energie AG,10.5,Wind,2005
497,,Windpark Jürgenshagen GmbH & Co.Betriebs-KG Renditefonds,11.8,Wind,2002
498,,Windfarm Zettingen GmbH,12.5,Wind,2009
499,HKW Karcherstr.,"SWK Stadtwerke Kaiserslautern, Versorgungs-AG",11.6,Gas,1989
500,HKW Karcherstr.,"SWK Stadtwerke Kaiserslautern, Versorgungs-AG",13.4,Coal,1996
501,,,22.95,Wind,2001
502,,Windpark Kall GmbH & Co WPKA KG,10.0,Wind,2009
503,,EST Elektro-Spezial-Technik Inh. Steffen Stecher,12.8,Wind,2001
504,Rheinhafen-Dampfkraftwerk,EnBW Energie Baden-Württemberg AG,353.0,Gas,1998
505,Heizkraftwerk West,Stadtwerke Karlsruhe GmbH,37.0,Gas,1984
506,MiRO,MiRO Mineraloelraffinerie Oberrhein GmbH & Co. KG,45.0,Oil,1995
507,MiRO,MiRO Mineraloelraffinerie Oberrhein GmbH & Co. KG,25.0,Oil,1995
508,Rheinhafen-Dampfkraftwerk,EnBW Energie Baden-Württemberg AG,517.0,Coal,1985
509,Rheinhafen-Dampfkraftwerk,EnBW Energie Baden-Württemberg AG,834.0,Coal,2014
510,Karnap,RWE Generation SE,38.0,Waste,1987
511,Stora Enso Maxau,Stora Enso Maxau GmbH,78.0,Biomass,2010
512,Kombi-HKW,Städtische Werke Energie + Wärme GmbH,48.31,Gas,1988
513,FKK,Städtische Werke Energie + Wärme GmbH,33.5,Coal,1989
514,,,13.3,Wind,1995
