id,name,owner,capacity,fuel,year
643,Markersbach,Vattenfall Wasserkraft GmbH,,Hydro,1980
644,Markersbach,Vattenfall Wasserkraft GmbH,,Hydro,1981
645,Markersbach,Vattenfall Wasserkraft GmbH,,Hydro,1981
646,Markersbach,Vattenfall Wasserkraft GmbH,,Hydro,1980
647,Kraftwerk III,Evonik Degussa GmbH,61.13,Gas,1973
648,Kraftwerk III,Evonik Degussa GmbH,77.57,Gas,1974
649,Kraftwerk I  ,Evonik Degussa GmbH,55.56,Coal,1971
650,Kraftwerk II,Evonik Degussa GmbH,60.4,Coal,1966
651,Kraftwerk I ,Evonik Degussa GmbH,68.4,Coal,1983
652,Kraftwerk I,Evonik Degussa GmbH,169.32,Other,1940
653,,Sintfeld REGO-Strom GmbH,18.0,Wind,2000
654,,Windpark Mastershausen GmbH & Co. KG,20.9,Wind,2007
655,,Vernet GmbH,10.5,Wind,2000
656,,MS Windkraft GmbH,13.0,Wind,2000
657,Rasch,Solarparc AG,21.7,Solar,2009
658,Pumpspeicherkraftwerk Glems,EnBW Energie Baden-Württemberg AG,90.0,Hydro,1964
659,,TREF Wind Midlum GmbH & Co. KG,35.0,Wind,1999
660,,Windkonzept - Energieanlagen GmbH & Co. KG,16.0,Wind,2002
661,,Enercon Windpark GmbH & Co.Megawind I KG,7.2,Wind,2002
662,,Enercon Windpark GmbH & Co. Mittelherwigsdorf KG,6.6,Wind,2004
663,,Windpark Mittelstenahe GmbH & Co. Betriebs-KG,12.0,Wind,2006
664,,Lorica Windpark Stegelitz GmbH & Co. KG,27.0,Wind,2009
665,,ENGIE WP Molau GmbH,26.4,Wind,2002
666,,Infrastruktur Windpark Wanlo GbR (MAIBARA Mobiliengesellschaft mbH & Co.KG),17.2,Wind,2007
667,,,14.6,Wind,2003
668,Energiepark Morbach,juwi Verwaltungs GmbH & Co. Morbach I-VI KG,12.0,Wind,2002
669,Energiepark Morbach,juwi Windenergie GmbH & Co. S+S  I+III KG,12.0,Wind,2002
670,Mumsdorf,Mitteldeutsche Braunkohlengesellschaft mbH,60.0,Coal,1968
671,Freimann GT 1,SWM Services GmbH,80.0,Gas,
672,Freimann GT 2,SWM Services GmbH,80.0,Gas,
673,Süd DT1,SWM Services GmbH,79.7,Gas,1980
674,Süd GT3,SWM Services GmbH,97.9,Gas,1980
675,Süd GT2,SWM Services GmbH,97.9,Gas,1980
676,Süd GT 61,SWM Services GmbH,124.9,Gas,2004
677,Süd GT 62,SWM Services GmbH,123.9,Gas,2004
678,Süd DT60,SWM Services GmbH,127.6,Gas,2004
679,Heizkraftwerk Hafen,Stadtwerke Münster GmbH,104.14,Gas,2005
680,Gemeinschaftskernkraftwerk Neckarwestheim II,EnBW Energie Baden-Württemberg AG,1310.0,Nuclear,1989
681,GuD-HKW Neubrandenburg,Neubrandenburger Stadtwerke GmbH,75.0,Gas,1997
682,Bittenbrunn,Donau-Wasserkraft AG,20.2,Hydro,1969
683,,Windpark Achmer Vinte GmbH & Co. KG Renditefonds,18.4,Wind,2005
684,Windpark Neuenkirchen,ENERCON Windpark GmbH & Co. Tornado KG,10.8,Wind,2002
685,,Windpark Gehrde GmbH & Co. KG,7.2,Wind,2002
686,KWK Neumarkt,Pfleiderer Neumarkt GmbH,15.6,Biomass,1997
687,Heizkraftwerk NMS,SWN Stadtwerke Neumünster GmbH,53.6,Other,1974
688,Neuötting,VERBUND-Innkraftwerke GmbH,26.1,Hydro,1951
689,Neurath,RWE Power AG,294.0,Coal,1972
690,Neurath,RWE Power AG,294.0,Coal,1972
691,Neurath,RWE Power AG,292.0,Coal,1973
692,Neurath,RWE Power AG,607.0,Coal,1975
693,Neurath,RWE Power AG,604.0,Coal,1976
694,Cogeneration,Bayernoil Raffineriegesellschaft mbH,25.4,Gas,1996
695,,,15.6,Wind,1999
696,,,11.7,Wind,1999
697,Niederaußem,RWE Power AG,297.0,Coal,1968
698,Niederaußem,RWE Power AG,299.0,Coal,1971
699,Niederaußem,RWE Power AG,648.0,Coal,1974
700,Niederaußem,RWE Power AG,628.0,Coal,1974
701,Niederaußem,RWE Power AG,944.0,Coal,2002
702,Niederaußem,RWE Power AG,125.0,Coal,1963
703,Niederaußem,RWE Power AG,125.0,Coal,1963
704,Niederaußem,RWE Power AG,295.0,Coal,1965
705,Niederaußem,RWE Power AG,295.0,Coal,1970
706,Fortuna Nord,RWE Power AG,15.0,Coal,1939
707,Lehmen,innogy SE,20.0,Hydro,1962
708,Windpark Niederkirchen,pfalzwind GmbH,20.0,Wind,2000
709,,,24.0,Wind,1998
710,,,22.5,Wind,1998
711,,,13.5,Wind,1999
712,Windpark Vogelsberg,Theolia Naturenergien GmbH,19.5,Wind,2006
713,Niederwartha,Vattenfall Wasserkraft GmbH,39.8,Hydro,1958
714,Niederwartha,Vattenfall Wasserkraft GmbH,,Hydro,1958
715,Windpark Nielebock,Breeze Three Energy GmbH & Co. KG,12.0,Wind,2003
716,,,10.0,Wind,2004
717,,,18.0,Wind,2001
718,,Windpark Norderland GmbH & Co. KG,44.5,Wind,1993
719,,,14.7,Wind,1995
720,,ENERGIEKONTOR Windkraft GmbH & Co.,23.9,Wind,1998
721,Alpha Ventus,EWE ERNEUERBARE ENERGIEN GmbH,60.0,Wind,2010
722,,NeNo GmbH ,13.8,Wind,2010
723,,Betreibergemeinschaft Windpark Vettweiß/Nörvenich/Erp,12.6,Wind,2002
724,,Umspannwerk Heynitz GmbH,20.25,Wind,2002
725,Thyrow,Lausitz Energie Kraftwerke AG,37.5,Gas,1989
726,Thyrow,Lausitz Energie Kraftwerke AG,37.5,Gas,
727,Thyrow,Lausitz Energie Kraftwerke AG,37.5,Gas,
728,Thyrow,Lausitz Energie Kraftwerke AG,37.5,Gas,
729,Thyrow,Lausitz Energie Kraftwerke AG,36.5,Gas,1987
730,Thyrow,Lausitz Energie Kraftwerke AG,36.5,Gas,1987
731,Thyrow,Lausitz Energie Kraftwerke AG,36.5,Gas,1987
732,Thyrow,Lausitz Energie Kraftwerke AG,36.5,Gas,1987
733,HKW Sandreuth,N-ERGIE AG,75.0,Gas,2005
734,HKW Sandreuth,N-ERGIE AG,75.0,Gas,2005
735,Franken 1,Uniper Kraftwerke GmbH ,383.0,Gas,1973
736,Franken 1,Uniper Kraftwerke GmbH ,440.0,Gas,1976
737,HKW Sandreuth,N-ERGIE AG,18.0,Waste,1996
738,Nußdorf,Innwerk AG,48.0,Hydro,1982
739,Oberaudorf-Ebbs,Innwerk AG,60.0,Hydro,1992
740,,,12.0,Wind,2002
741,GMVA Niederrhein,GMVA Gemeinschafts-Müll-Verbrennungsanlage Niederrhein GmbH,40.4,Waste,1991
742,GMVA Niederrhein,GMVA Gemeinschafts-Müll-Verbrennungsanlage Niederrhein GmbH,21.1,Waste,2006
743,HKW 1,Energieversorgung Oberhausen AG,23.1,Gas,1971
744,HKW 2,Energieversorgung Oberhausen AG,24.5,Gas,1996
745,Windpark Lauterburg,Breeze Three Energy GmbH & Co. KG,10.0,Wind,2006
746,Obernburg,Kraftwerk Obernburg GmbH,40.0,Gas,1920
747,Obernburg,Kraftwerk Obernburg GmbH,60.0,Gas,1995
748,,,16.5,Wind,2000
749,Heizkraftwerk Offenbach,Energieversorgung Offenbach AG,54.0,Coal,1990
750,Itzehoe,Uniper Kraftwerke GmbH ,88.0,Oil,1972
751,,Windpark Oldenswort Moordeich GmbH & Co.KG,12.0,Wind,2001
752,WP Naundorf I,e.disnatur Erneuerbare Energien GmbH,14.0,Wind,2004
753,,,12.3,Wind,2009
754,,,11.0,Wind,1999
755,Windpark Krevese,Windpark Krevese Verwaltungsgesellschaft mbH,30.0,Wind,2002
756,,Windpark Osterrade GmbH ,12.25,Wind,2001
757,Audorf,Uniper Kraftwerke GmbH ,87.0,Oil,1973
758,,Windkonzept - Energieanlagen GmbH & Co. KG,22.4,Wind,2002
759,,N.prior energy GmbH,18.0,Wind,1999
760,Baltic 1,EnBW Baltic 1 GmbH & Co. KG,48.3,Wind,2011
761,,WPO GmbH & Co. Betriebs KG WPM GmbH & Co. Betriebs KG,22.85,Wind,2001
762,,Dezentrale Energie Anlagen Beteiligungs-und Verwaltungsgesellschaft mbH,10.0,Wind,2001
763,,,16.96,Wind,1997
764,,,12.0,Wind,1995
765,,,11.15,Wind,1998
766,Biomasse-HKW,B+S Papenburg Energie GmbH,20.0,Biomass,2003
767,Windpark Lüdersdorf Parstein,HelveticWind Deutschland GmbH,22.5,Wind,2004
768,Kopswerk I ,EnBW Energie Baden-Württemberg AG,247.0,Hydro,1969
769,Kopswerk II ,EnBW Energie Baden-Württemberg AG,525.0,Hydro,2008
770,Obervermuntwerk 1,EnBW Energie Baden-Württemberg AG,29.0,Hydro,1943
771,Vermuntwerk,EnBW Energie Baden-Württemberg AG,158.0,Hydro,1930
772,ÜST Ruhleben,ENERTRAG Aktiengesellschaft,29.1,Wind,2000
773,Kachlet,Rhein-Main-Donau GmbH,53.7,Hydro,1927
774,Passau-Ingling,Innwerk AG,86.4,Hydro,1965
775,KW Jänschwalde,Lausitz Energie Kraftwerke AG,465.0,Coal,1981
776,KW Jänschwalde,Lausitz Energie Kraftwerke AG,465.0,Coal,1982
777,KW Jänschwalde,Lausitz Energie Kraftwerke AG,465.0,Coal,1984
778,KW Jänschwalde,Lausitz Energie Kraftwerke AG,465.0,Coal,1985
779,KW Jänschwalde,Lausitz Energie Kraftwerke AG,465.0,Coal,1987
780,KW Jänschwalde,Lausitz Energie Kraftwerke AG,465.0,Coal,1989
781,,Acciona Energie Windparks Deutschland GmbH,10.5,Wind,2005
782,Perach,VERBUND-Innkraftwerke GmbH,19.4,Hydro,1977
783,Heyden,Uniper Kraftwerke GmbH ,875.0,Coal,1987
784,,Windkraft Unger GmbH,18009.0,Wind,2007
785,Geisling,Rhein-Main-Donau GmbH,25.0,Hydro,1985
786,Heizkraftwerk Pforzheim GmbH,Heizkraftwerk Pforzheim GmbH,12.3,Biomass,2004
787,Heizkraftwerk Pforzheim GmbH,Heizkraftwerk Pforzheim GmbH,11.3,Gas,
788,Heizkraftwerk Pforzheim GmbH,Heizkraftwerk Pforzheim GmbH,41.2,Gas,1980
789,Heizkraftwerk Pforzheim GmbH,Heizkraftwerk Pforzheim GmbH,26.9,Coal,1990
790,Kernkraftwerk Philippsburg 2,EnBW Energie Baden-Württemberg AG,1402.0,Nuclear,1985
791,Hattorf,K+S AG,52.0,Gas,2013
792,Kraftwerk Plattling,Kraftwerk Platting GmbH,118.5,Gas,2010
793,Windpark Plauerhagen,MVV Energie AG,16.0,Wind,2010
794,,Solarpark Pocking 2 GmbH,12052.0,Solar,2009
795,RWE Innogy Brise Windparkbetriebsgesellschaft mbH,innogy SE,62.0,Wind,2004
796,Kraftwerk Veltheim,Uniper Kraftwerke GmbH ,65.0,Gas,1974
797,Kraftwerk Veltheim,Uniper Kraftwerke GmbH ,335.0,Gas,1975
798,Kraftwerk Veltheim,Gemeinschaftskraftwerk Veltheim GmbH,93.0,Coal,1965
799,Kraftwerk Veltheim,Uniper Kraftwerke GmbH ,303.0,Coal,1970
800,HKW Potsdam-Süd,Energie und Wasser Potsdam GmbH,81.8,Gas,1996
801,,,11.5,Wind,2000
802,KW Kaunertal,TIWAG-Tiroler Wasserkraft AG,392.0,Hydro,1964
803,,WKN Windkraft Nord GmbH & Co. Windpark Puls KG,16.5,Wind,1999
804,,SCE Wind Puschwitz GmbH & Co. KG,20.0,Wind,2001
805,,N.prior energy GmbH,18.0,Wind,1999
806,Weiher,Steag GmbH,655.6,Coal,1976
807,Umspannwerk Raguhn GmbH,ENERTRAG Aktiengesellschaft,52.9,Wind,
808,,WKN Windkraft Nord GmbH & Co. BWP Rantrum KG,9.9,Wind,1998
809,SWM Wind Havelland GmbH & Co. KG,Stadtwerke München GmbH,171.0,Wind,2009
810,,Windpark Wetzdorf GmbH & Co.KG c/o Deutsche Structured Finance GmbH,21.0,Wind,2003
811,Rheinkraftwerk Reckingen,EnBW Energie Baden-Württemberg AG,19.0,Hydro,1942
812,BMHKW-RE Recklinghausen,Ökotech Ingenieurgesellschaft mbh,15.0,Biomass,2004
813,Windpark Loccum/Wasserstraße,Loccumer Windparksbetriebsgesellschaft mbH,13.8,Wind,2002
814,,Windpark Reher II GmbH & Co. KG ,16.0,Wind,2005
815,,Trassengesellschaft Reinsbüttel GmbH & Co. KG,25.0,Wind,2009
816,,Solarkraftwerk Rentweinsdorf GmbH & Co. KG,12585.0,Solar,2010
817,BHKW-Hauffstraße,FairEnergie GmbH,9.84,Gas,2011
818,Solvay Kraftwerk Rheinberg,Solvay Chemicals GmbH,79.0,Coal,1961
819,KW Rheinfelden,Energiedienst AG,46.7,Hydro,2010
820,,Windfarm Ringstedt II GmbH,10.0,Wind,2007
821,,,28.0,Wind,2006
822,,,36.6,Wind,2003
823,Rosenheim,VERBUND-Innkraftwerke GmbH,35.1,Hydro,1960
824,Rosendahl,Mergen GmbH & Co. KG Windpark Rosendahl,10.8,Wind,2007
825,Gasmotore,Stadtwerke Rosenheim GmbH & Co. KG,9.81,Gas,2011
826,Gasmotor 4,Stadtwerke Rosenheim GmbH & Co. KG,9.2,Gas,2013
827,Gasmotor 5,Stadtwerke Rosenheim GmbH & Co. KG,4.3,Gas,2012
828,"MHKW, WKW",Stadtwerke Rosenheim GmbH & Co. KG,9.0,Waste,1988
829,,SCE Wind Zernitz GmbH & Co. KG,14175.0,Wind,2003
830,Roßhaupten,Uniper Kraftwerke GmbH ,45.5,Hydro,1954
831,GuD Marienehe,Stadtwerke Rostock AG,108.0,Gas,1996
832,KNG Kraftwerk Rostock,EnBW Energie Baden-Württemberg AG,514.0,Coal,1994
833,Windpark Elsdorf II,Windfarm Elsdorf II GmbH,18.4,Wind,2008
834,,KOLBA Grundstücksgesellschaft mbH & Co. KG Windpark Eifel GmbH & Co. KG,35.0,Wind,2005
835,Rothenburg KG,,20493.0,Solar,2009
836,Feldkirchen,VERBUND-Innkraftwerke GmbH,38.2,Hydro,1970
837,IKW Rüdersdorf,Steag GmbH,30.0,Waste,2009
838,HKW Schwarza,TWS Thüringer Wärme Service GmbH,26.5,Gas,1936
839,GuD-Anlage Rüsselsheim,Opel Automobile GmbH ,112.1,Gas,1999
840,,Denker & Wulf AG ,15.0,Wind,2000
841,Rheinkraftwerk Ryburg-Schwörstadt ,EnBW Energie Baden-Württemberg AG,30.0,Hydro,1930
842,,Mercer Timber Products GmbH,12.8,Biomass,2009
843,HKW Römerbrücke,Energie SaarLorLux AG,75.0,Gas,2005
844,HKW Römerbrücke,Energie SaarLorLux AG,50.0,Coal,1988
845,Sallgast,ERG Power Generation S.p.A.,26.0,Wind,2003
846,Kraftwerk Salzgitter,Salzgitter Flachstahl GmbH,94.5,Other,1939
847,Kraftwerk Salzgitter,Salzgitter Flachstahl GmbH,97.0,Other,2010
848,Kraftwerk Salzgitter,Salzgitter Flachstahl GmbH,97.0,Other,2010
849,RWE Innogy Brise Windparkbetriebsgesellschaft mbH,innogy SE,21.0,Wind,2009
850,RWE Innogy Brise Windparkbetriebsgesellschaft mbH,innogy SE,19.8,Wind,2002
851,,Salzhemmendorf Wind GmbH & Co. KG,10.0,Wind,2006
852,,Windpark Sande GmbH & Co KG; Gemeinde Sande,10.6,Wind,1999
853,,Energiewind Scharrel GmbH & Co. KG,14.0,Wind,2005
854,,Kabeltrassen- und Infrastruktur GmbH & Co. Sellstedt/Nückel,14.0,Wind,2005
855,,,4.0,Wind,2007
856,WP Schinne I,Windpark GmbH & Co. Schinne I KG,10.0,Wind,2007
857,WP Schinne IV,Windpark GmbH & Co. Schinne IV KG,10.0,Wind,2007
858,WP Schinne III,Windpark GmbH & Co. Schinne III KG,10.0,Wind,2008
859,WP Schinne V,Windpark GmbH & Co. Schinne V KG,10.0,Wind,2009
860,WP Schinne II,Windpark GmbH & Co. Schinne II KG,10.0,Wind,2008
861,Schkopau,Uniper Kraftwerke GmbH ,450.0,Coal,1996
862,Schkopau,Uniper Kraftwerke GmbH ,450.0,Coal,1996
863,Detzem,innogy SE,24.0,Hydro,1962
864,,Betreibergemeinschaft Windpark Schleiden ABO Wind Betriebs GmbH,25517.0,Wind,2000
865,Bleiloch,Vattenfall Wasserkraft GmbH,79.8,Hydro,1932
866,Bleiloch,Vattenfall Wasserkraft GmbH,,Hydro,1932
867,,Erzeugergemeinschaft Schloßvippach GbR,12.0,Wind,2006
868,Windpark Schlüchtern,HSE Windpark Schlüchtern GmbH & Co. KG,27.68,Wind,2010
869,Windpark Schönewalde,,27.2,Wind,2005
870,WP Schlalach,Windpark GmbH & Co. Schlalach KG,51.3,Wind,2010
871,WP Feldheim,Windpark GmbH & Co. Feldheim KG,20.0,Wind,2006
872,Windpark Heidehof,Windpark Jänickendorfer Heide GmbH & Co. KG,62.0,Wind,2006
873,Windpark Altes Lager,Windpark Altes Lager GmbH & Co. KG,36.0,Wind,2009
874,WP Jänickendorf,Windpark GmbH & Co. Jänickendorf KG,18.4,Wind,2013
875,Windpark Heidehof II,LHI Green Infrastructure Solar Deutschland I GmbH & Co. KG,18.4,Wind,2012
876,,Difko Schönhagen ,20.0,Wind,2004
877,,Windpark Badeleben ApS & Co. OHG,10.0,Wind,2005
878,,,11.0,Wind,2001
879,,NSG Netzanschluß Schuby GmbH ,18.0,Wind,2001
880,,Winkra Krokhorst Windparkbetriebsgesellschaft mbH,10.8,Wind,2002
881,GuD Schwarzheide,BASF Schwarzheide GmbH,122.0,Gas,1994
882,IKS PCK Schwedt,PCK Raffinerie GmbH,28.0,Oil,1972
883,IKS PCK Schwedt,PCK Raffinerie GmbH,34.5,Oil,1994
884,IKS PCK Schwedt,PCK Raffinerie GmbH,106.0,Oil,1998
885,IKS PCK Schwedt,PCK Raffinerie GmbH,106.0,Oil,1998
886,IKS PCK Schwedt,PCK Raffinerie GmbH,59.0,Oil,2011
887,GKS,GKS Gemeinschaftskraftwerk Schweinfurt GmbH,24.4,Waste,1990
888,HKW Schwerin Süd,Energieversorgung Schwerin GmbH & Co. Erzeugung KG,44.9,Gas,1994
889,HKW Schwerin Lankow,Energieversorgung Schwerin GmbH & Co. Erzeugung KG,23.0,Gas,1994
890,,,12.0,Wind,2009
891,,NEIF (Sehnde Lehrte Windpark) GmbH & Co. KG,10.0,Wind,2005
892,Windpark Sendenhorst,HelveticWind Deutschland GmbH,14.5,Wind,2006
893,WP Sendenhorst,Windpark Sendenhorst GmbH & Co. KG,14.3,Wind,2007
894,,PAM Infra 456 GmbH & Co. KG,13.23,Solar,2010
895,PVA Senftenberg,saferay holding GmbH,17.9,Solar,2011
896,PVA Senftenberg,saferay holding GmbH,17.36,Solar,2011
897,PVA Senftenberg,saferay holding GmbH,23.0,Solar,2011
898,,Lockstedt-Siestedt II Netzanschluss GbR,22.0,Wind,2007
899,,,14.57,Wind,1995
900,,Windpark Silmersdorf GmbH & Co KG,22.5,Wind,2005
901,KW Silz,TIWAG-Tiroler Wasserkraft AG,500.0,Hydro,1981
902,WP Strauch-Michelshof,Enercon Windpark GmbH & Co. Strauch-Michelshof KG,14.0,Wind,2004
903,,Breeze Two Energy GmbH & Co. KG,28.0,Wind,2006
904,,WSW Energie GmbH,22.9,Wind,2008
905,,ProVento Pool  Verwaltungs-GmbH & Co. KG,11.5,Wind,2001
906,,,18.0,Wind,1999
907,Teufelsbruck,VERBUND-Innkraftwerke GmbH,25.0,Hydro,1938
908,GuD Anlage Spreetal,Alpiq Spreetal GmbH,50.0,Gas,
909,Schwarze Pumpe,Lausitz Energie Kraftwerke AG,750.0,Coal,1997
910,Schwarze Pumpe,Lausitz Energie Kraftwerke AG,750.0,Coal,1998
911,,Windpark Springe Bennigsen GmbH & Co.KG,10.0,Wind,2009
912,Schärding-Neuhaus,Innwerk AG,96.0,Hydro,1961
913,Dow Stade,Dow Deutschland Anlagengesellschaft mbH,190.0,Gas,
914,Dow Stade,Dow Deutschland Anlagengesellschaft mbH,157.0,Gas,2015
915,,Abrechnungsgemeinschaft Windpark Rodenkircherwurp GbR,11.3,Wind,2000
916,Stammham,VERBUND-Innkraftwerke GmbH,23.2,Hydro,1955
917,GuD-Ikw Staßfurt,CIECH Energy Deutschland GmbH,100.0,Gas,2015
918,GuD-Ikw Staßfurt,CIECH Energy Deutschland GmbH,9.0,Gas,
919,,,17.0,Wind,2000
920,,,13.86,Wind,2002
921,Heizkraftwerk der Sappi Stockstadt GmbH,Sappi Stockstadt GmbH,13.9934,Biomass,2003
922,Heizkraftwerk der Sappi Stockstadt GmbH,Sappi Stockstadt GmbH,24.79,Coal,1970
923,,PROKON Regenerative Energien eG,14.3,Wind,2001
924,Solarpark Gänsdorf,Umspannwerk Straßkirchen GmbH & Co. KG,54.34,Solar,2009
925,Straubing,Rhein-Main-Donau GmbH,21.5,Hydro,1994
926,,,10.0,Wind,2004
927,,Siekwind GmbH & Co. KG; WP Windpark Stuhr GmbH & Co. Betriebs KG,10.1,Wind,2002
928,Heizkraftwerk Stuttgart-Gaisburg,EnBW Energie Baden-Württemberg AG,55.0,Gas,
929,Heizkraftwerk Stuttgart-Gaisburg,EnBW Energie Baden-Württemberg AG,22.6,Coal,2009
930,Restmüll-Heizkraftwerk Stuttgart-Münster,EnBW Energie Baden-Württemberg AG,45.0,Coal,1982
931,Restmüll-Heizkraftwerk Stuttgart-Münster,EnBW Energie Baden-Württemberg AG,45.0,Coal,1984
932,Restmüll-Heizkraftwerk Stuttgart-Münster,EnBW Energie Baden-Württemberg AG,23.3,Oil,1974
933,Restmüll-Heizkraftwerk Stuttgart-Münster,EnBW Energie Baden-Württemberg AG,23.3,Oil,1974
934,Restmüll-Heizkraftwerk Stuttgart-Münster,EnBW Energie Baden-Württemberg AG,19.5,Waste,2009
935,Restmüll-Heizkraftwerk Stuttgart-Münster,EnBW Energie Baden-Württemberg AG,23.3,Oil,1974
936,,,21.8,Wind,2005
937,,,10.0,Wind,2009
938,,WindStrom GmbH & Co. Windpark Okeler Bruch Infrastruktur KG,11.5,Wind,2005
939,,e.n.o. energy finance GmbH & Co. KG,25.3,Wind,2006
940,,,3.8,Wind,2002
941,,Windpark Enercon GmbH & Co. Windnutzung II KG,9.0,Wind,2002
942,Kraftwerksgruppe Pfreimd,ENGIE Deutschland AG,28.0,Hydro,1958
943,Kraftwerksgruppe Pfreimd,ENGIE Deutschland AG,3.3,Hydro,1955
944,Kraftwerksgruppe Pfreimd,ENGIE Deutschland AG,1.8,Hydro,1952
945,,Rowind GmbH,25.5,Wind,2004
946,,Windpark Beppen II- Intschede Netz GbR; Windstrom GmbH & Co. Windfeld Beppener Bruch Infrastruktur KG,35.3,Wind,2003
947,,,13982.0,Wind,2001
948,Töging,VERBUND-Innkraftwerke GmbH,85.3,Hydro,1924
949,,,62.0,Wind,1999
950,,EEV Erneuerbare Energien Verwaltungs GmbH Dresden,63.45,Wind,2006
951,Kraftwerksgruppe Pfreimd,ENGIE Deutschland AG,99.0,Hydro,1955
952,Lünerseewerk,EnBW Energie Baden-Württemberg AG,238.0,Hydro,1957
953,BHKW Obere Viehweide,Stadtwerke Tübingen GmbH,13.4,Gas,2000
954,,Solar Power Turnow GmbH & Co. KG,34.8,Solar,2009
955,"Solar Power Turnow West I GmbH & Co. KG,  Solar Power Turnow West II GmbH & Co. KG",STAWAG Energie GmbH,18.0,Solar,2009
956,Tutow Solarpark 1 FF,Solarpark Tutow I GmbH,6.78,Solar,2009
957,Solarpark Tutow V GmbH & Co. KG,Solarpark Tutow V GmbH & Co. KG,19.3,Solar,2011
958,Tutow Solarpark 2 FF Infrastruktur,Solarpark Tutow II GmbH & Co. KG,25.5,Solar,2010
959,WP Twist,Enercon Windpark GmbH & Co. Twist KG,14.4,Wind,2004
960,,ewz Windpark Dörmte GmbH c/o Deutsche Immobilien Leasing,16.5,Wind,2006
961,,,18.1,Wind,2001
962,,HESSEN WIND II GMBH & CO.KG,10.3,Wind,1996
963,,HESSENENERGIE GMBH,10.0,Wind,2000
964,Nord 1,SWM Services GmbH,18.0,Waste,1991
965,Nord 2,SWM Services GmbH,332.7,Coal,1991
966,Nord 3,SWM Services GmbH,22.0,Waste,1984
967,UW Osterweddingen,ENERTRAG Aktiengesellschaft,75.0,Wind,2005
968,Leitzach 1,Stadtwerke München GmbH,48.0,Hydro,1983
969,Leitzach 2,Stadtwerke München GmbH,44.0,Hydro,1960
970,Rodundwerk I,EnBW Energie Baden-Württemberg AG,198.0,Hydro,1943
971,Rodundwerk II,EnBW Energie Baden-Württemberg AG,295.0,Hydro,2011
972,,Breeze Two Energy GmbH & Co. KG,10.0,Wind,2006
973,,UW Eichow GmbH & Co. KG,12.0,Wind,2006
974,PSW Vianden,Société Electrique de l'Our S.A.,100.0,Hydro,1962
975,PSW Vianden,Société Electrique de l'Our S.A.,100.0,Hydro,1962
976,PSW Vianden,Société Electrique de l'Our S.A.,100.0,Hydro,1963
977,PSW Vianden,Société Electrique de l'Our S.A.,100.0,Hydro,1963
978,PSW Vianden,Société Electrique de l'Our S.A.,100.0,Hydro,1963
979,PSW Vianden,Société Electrique de l'Our S.A.,100.0,Hydro,1964
980,PSW Vianden,Société Electrique de l'Our S.A.,100.0,Hydro,1964
981,PSW Vianden,Société Electrique de l'Our S.A.,100.0,Hydro,1963
982,PSW Vianden,Société Electrique de l'Our S.A.,100.0,Hydro,1964
983,PSW Vianden,Société Electrique de l'Our S.A.,196.0,Hydro,1975
984,,CHORUS CleanTech GmbH & Co. Solarpark Vilseck KG,10017.0,Solar,2010
985,KW West,Steag GmbH,318.0,Coal,1971
986,KW West,Steag GmbH,322.0,Coal,1971
987,KW Voerde,RWE Generation SE,695.0,Coal,1982
988,KW Voerde,RWE Generation SE,695.0,Coal,1985
989,Irsching,Uniper Kraftwerke GmbH ,415.0,Oil,1974
990,Gemeinschaftskraftwerk Irsching ,Gemeinschaftskraftwerk Irsching GmbH,846.0,Gas,2010
991,Ulrich Hartmann (Irsching),Uniper Kraftwerke GmbH ,561.0,Gas,2011
992,Vohburg,Donau-Wasserkraft AG,23.3,Hydro,1992
993,"HKW Fenne, Grubengaskraftwerk",STEAG New Energies GmbH,42.0,Gas,2003
994,Modellkraftwerk,Steag GmbH,179.0,Coal,1982
995,Heizkraftwerk,Steag GmbH,211.0,Coal,1989
996,,Windpark Vollstedt ,15.5,Wind,1997
997,,Windpark Voltlage-Höckel GbR,10.5,Wind,2006
998,Wählitz,Mitteldeutsche Braunkohlengesellschaft mbH,31.0,Coal,1994
999,Kraftwerk Waldshut,Schluchseewerk Aktiengesellschaft,150.0,Hydro,1951
1000,Kraftwerk Walheim,EnBW Energie Baden-Württemberg AG,136.0,Oil,1981
1001,Kraftwerk Walheim,EnBW Energie Baden-Württemberg AG,96.0,Coal,1964
1002,Kraftwerk Walheim,EnBW Energie Baden-Württemberg AG,148.0,Coal,1967
1003,SKW Gasturbine,Allgäuer Überlandwerk GmbH,24.0,Oil,1988
1004,SKW Diesel,Allgäuer Überlandwerk GmbH,10.5,Oil,1978
1005,Uppenborn 1,Stadtwerke München GmbH,25.0,Hydro,1930
1006,,Bassens Windpark GmbH & Co KG,20.4,Wind,1996
1007,,Windpark am süßen See Verwaltung GmbH,12.0,Wind,2002
1008,Windpark Waldhausen,Breeze Three Energy GmbH & Co. KG,14.0,Wind,2006
1009,Wasserburg,VERBUND-Innkraftwerke GmbH,24.1,Hydro,1938
1010,Windpark Dardesheim-Druiberg,GENERALRENEWABLES GMBH & CO. KG,66.6,Wind,2004
1011,Wedel,Vattenfall Hamburg Wärme GmbH,50.5,Oil,1972
1012,Wedel,Vattenfall Hamburg Wärme GmbH,50.5,Oil,1972
1013,,Windpark Weener Verwaltungs-GmbH,21.45,Wind,1998
1014,,Windpark Weenermoor Netzbetriebs-GbR mbH,19.5,Wind,1998
