id,name,owner,capacity,fuel
568,Merston,Greencoat Capital,5.0,Solar
569,Hill Hall Farm,Lightsource BP,5.0,Solar
570,Carlisle Estate,Octopus Investments,5.0,Solar
571,Causilgey,Octopus Investments,5.0,Solar
572,Lochay,SSE,46.0,Hydro
573,Low Burntoft,Anesco,5.0,Solar
574,Meadow Farm (Thorpe Lanton),Lightsource BP,5.0,Solar
575,Molland Farm,Octopus Investments,5.0,Solar
576,Park Wall,Octopus Investments,5.0,Solar
577,Staining Wood,Octopus Investments,5.0,Solar
578,Turves,Octopus Investments,5.0,Solar
579,Binsted,Lightsource BP,5.0,Solar
580,Peter Hill,Octopus Investments,5.0,Solar
581,Pollington Airfield,Octopus Investments,5.0,Solar
582,Fields Farm (Agden),Lightsource BP,5.0,Solar
583,Rannoch,SSE,45.0,Hydro
584,Deepdale,Octopus Investments,5.0,Solar
585,Ash Row Farm,Octopus Investments,5.0,Solar
586,Averill Farm,Octopus Investments,5.0,Solar
587,Brookside,Anesco,5.0,Solar
588,Chilton Cantelo,Wise Energy,5.0,Solar
589,Crossways,Wise Energy,5.0,Solar
590,Mill Hill Farm,Octopus Investments,5.0,Solar
591,Shaftesbury,Lightsource BP,5.0,Solar
592,Trench Farm,Octopus Investments,5.0,Solar
593,Acrefair,Lightsource BP,5.0,Solar
594,Clachan,SSE,40.0,Hydro
595,Hadley Farm,Lightsource BP,5.0,Solar
596,Hornacott,Lightsource BP,5.0,Solar
597,Ffos Las,Lightsource BP,5.0,Solar
598,EPG Netley,Greencoat Capital,5.0,Solar
599,Mill Farm,Toucan Energy Services,5.0,Solar
600,Bentley Estate 2,Lightsource BP,5.0,Solar
601,Shalfleet,Anesco,5.0,Solar
602,Capel Grange,Engie Power,5.0,Solar
603,Holtwood,Octopus Investments,5.0,Solar
604,Cressing,Octopus Investments,5.0,Solar
605,Deanie,SSE,38.0,Hydro
606,Huntspill,Greencoat Capital,5.0,Solar
607,Chittering 1,Lightsource BP,5.0,Solar
608,Potters Bar,Greencoat Capital,5.0,Solar
609,Brickkiln Lane,Octopus Investments,5.0,Solar
610,Cwrt Henllys,Lightsource BP,5.0,Solar
611,Bratton Fleming,Octopus Investments,5.0,Solar
612,Astley,Toucan Energy Services,5.0,Solar
613,Lochcraigs Farm,Octopus Investments,5.0,Solar
614,Manor Farm Eggington,Lightsource BP,5.0,Solar
615,Islip,Greencoat Capital,5.0,Solar
616,Glenmoriston,SSE,37.0,Hydro
617,Bedborough,Greencoat Capital,5.0,Solar
618,Ainderby,Greencoat Capital,5.0,Solar
619,Clay Cross,Greencoat Capital,5.0,Solar
620,Henley,Greencoat Capital,5.0,Solar
621,Warren,Anesco,5.0,Solar
622,Wilburton,Lightsource BP,5.0,Solar
623,Bilsborrow,Greencoat Capital,5.0,Solar
624,Home Farm,Toucan Energy Services,5.0,Solar
625,Newton,Toucan Energy Services,5.0,Solar
626,Lee Moor,Anesco,5.0,Solar
627,Maentwrog,Magnox Electric,35.3,Hydro
628,Eye Suffolk,EPR,14.3,Biomass
629,Butleigh,British Solar Renewables,5.0,Solar
630,Higher Hill,British Solar Renewables,5.0,Solar
631,Penyrheollas,Octopus Investments,5.0,Solar
632,Sheep Shed,Anesco,5.0,Solar
633,Church Farm - Slapton,Lightsource BP,5.0,Solar
634,Cotgrave,Anesco,5.0,Solar
635,Blue House,Anesco,5.0,Solar
636,East Appleton,Anesco,5.0,Solar
637,Stripe,Anesco,5.0,Solar
638,The Leys,Anesco,5.0,Solar
639,Luichart,SSE,34.0,Hydro
640,Woodhouse,Toucan Energy Services,5.0,Solar
641,The Rushes,Anesco,5.0,Solar
642,West Strathore,Greencoat Capital,5.0,Solar
643,Bodmin,Lightsource BP,5.0,Solar
644,Blackwell,Anesco,5.0,Solar
645,Ramsey Heights,Greencoat Capital,5.0,Solar
646,Long Ash Lane,British Solar Renewables,5.0,Solar
647,Askern,Anesco,5.0,Solar
648,Ramsey Airfield,Greencoat Capital,5.0,Solar
649,Moss Thorn,Anesco,5.0,Solar
650,Tummel,SSE,34.0,Hydro
651,Tooley Farm,Octopus Investments,5.0,Solar
652,Outwood,Toucan Energy Services,5.0,Solar
653,Pen y cae,Toucan Energy Services,5.0,Solar
654,Coltishall 2.3,Greencoat Capital,5.0,Solar
655,Great Seabrook,Toucan Energy Services,5.0,Solar
656,Balcombe,Toucan Energy Services,5.0,Solar
657,Wick Red Farm,Lightsource BP,5.0,Solar
658,Springhill,Greencoat Capital,4.9,Solar
659,Fanny House,Greencoat Capital,4.9,Solar
660,Hyde Farm,Anesco,4.9,Solar
661,Tongland,Drax Power,33.0,Hydro
662,Skylark,Anesco,4.9,Solar
663,Ferry Farm,Greencoat Capital,4.9,Solar
664,Manor Farm Dorset,Octopus Investments,4.9,Solar
665,Nefyn (Tyddyn Cae),Lightsource BP,4.9,Solar
666,Moor House,Toucan Energy Services,4.9,Solar
667,Northmoor,Octopus Investments,4.9,Solar
668,Coltishall 2.2,Greencoat Capital,4.9,Solar
669,Pantymoch CIC,Greencoat Capital,4.9,Solar
670,Pendine 1,Vattenfall,4.9,Solar
671,Royston CIC,Greencoat Capital,4.9,Solar
672,Inverawe,SSE,25.0,Hydro
673,Wrea Green,Toucan Energy Services,4.9,Solar
674,Lodge Farm 2,Anesco,4.9,Solar
675,Grantham,Cubico Sustainable Investments,4.9,Solar
676,Hawton 1,Lightsource BP,4.9,Solar
677,Manor Farm 1,Greencoat Capital,4.9,Solar
678,Oak Cottage,Anesco,4.9,Solar
679,Upper Meadowley,Greencoat Capital,4.9,Solar
680,Strete,Octopus Investments,4.9,Solar
681,Lagness,Greencoat Capital,4.8,Solar
682,Wyld Meadow Farm,Wise Energy,4.8,Solar
683,Glenlee,Drax Power,24.0,Hydro
684,Crookedstone,Lightsource BP,4.8,Solar
685,Ashton,Anesco,4.8,Solar
686,Ashby,Greencoat Capital,4.8,Solar
687,RedHill Farm,Lightsource BP,4.8,Solar
688,Rainbow,Anesco,4.8,Solar
689,Bentley Estate 1,Lightsource BP,4.8,Solar
690,Coltishall 2.1,Greencoat Capital,4.8,Solar
691,Burnthouse,Lightsource BP,4.8,Solar
692,Upper Clayhill,Lightsource BP,4.7,Solar
693,Pen Rhiw,Lightsource BP,4.7,Solar
694,Kendoon,Drax Power,24.0,Hydro
695,Lucern,Anesco,4.7,Solar
696,The Oaks,Anesco,4.7,Solar
697,Carmarthen,Greencoat Capital,4.7,Solar
698,Wick Road,Greencoat Capital,4.7,Solar
699,Barn Farm,Octopus Investments,4.7,Solar
700,Brook hall,Anesco,4.7,Solar
701,Stormy Down,Octopus Investments,4.7,Solar
702,Crapnell Farm,Octopus Investments,4.7,Solar
703,Knockworthy Farm,Wise Energy,4.6,Solar
704,Oakham,Anesco,4.6,Solar
705,Rheidol Hydro Scheme Gen 2,Statkraft,20.5,Hydro
706,Trickey Warren,Anesco,4.6,Solar
707,Ryston Farm,Octopus Investments,4.6,Solar
708,Barton Close,Cubico Sustainable Investments,4.6,Solar
709,Moat Farm,Greencoat Capital,4.6,Solar
710,Bryn Bachau,Greencoat Capital,4.6,Solar
711,Puriton,Anesco,4.6,Solar
712,Cleave Farm,Lightsource BP,4.6,Solar
713,Maes Bach,Lightsource BP,4.6,Solar
714,Lovedean,Octopus Investments,4.5,Solar
715,Marston,Lightsource BP,4.5,Solar
716,Rheidol Hydro Scheme Gen 3,Statkraft,20.5,Hydro
717,Goonhilly Downs 1,REG WindPower,4.5,Solar
718,Hungerford,Anesco,4.5,Solar
719,Winnards,Toucan Energy Services,4.5,Solar
720,New Row Farm,Octopus Investments,4.5,Solar
721,Trefinnick,Lightsource BP,4.4,Solar
722,Fullerton,Octopus Investments,4.4,Solar
723,Langton,Lightsource BP,4.3,Solar
724,Chatteris,Greencoat Capital,4.3,Solar
725,Primrose Hill,Lightsource BP,4.3,Solar
726,St Francis,Lightsource BP,4.3,Solar
727,Aigas,SSE,20.0,Hydro
728,Lawn Lane,Octopus Investments,4.3,Solar
729,Newlands,Octopus Investments,4.3,Solar
730,Wymeswold - Wide Lane,Anesco,4.3,Solar
731,Fell View,Anesco,4.3,Solar
732,Pressock,Lightsource BP,4.2,Solar
733,Green Lane,Lightsource BP,4.2,Solar
734,Francis Court,Lightsource BP,4.2,Solar
735,Ollerton,Anesco,4.2,Solar
736,Oxcroft,Anesco,4.2,Solar
737,Seaton Road,Octopus Investments,4.2,Solar
738,Ceannacroc (plus Comp Set),SSE,20.0,Hydro
739,Slough Heat Power,SSE,35.0,Biomass
740,Radcliffe,Anesco,4.2,Solar
741,Long Meadow,Greencoat Capital,4.1,Solar
742,Slade Farm,Greencoat Capital,4.1,Solar
743,Bystock Farm,Octopus Investments,4.1,Solar
744,Portworthy,Anesco,4.0,Solar
745,Wilsom Farm,Greencoat Capital,4.0,Solar
746,Homestead,Anesco,4.0,Solar
747,Park Farm West,Lightsource BP,3.9,Solar
748,Berry Court,Anesco,3.9,Solar
749,Severn Beach,Greencoat Capital,3.9,Solar
750,Kilmorack,SSE,20.0,Hydro
751,Ninnis,Octopus Investments,3.9,Solar
752,Willersey,Toucan Energy Services,3.8,Solar
753,Thirty Acres,Greencoat Capital,3.8,Solar
754,Brent Broad,Greencoat Capital,3.8,Solar
755,Overton,Cubico Sustainable Investments,3.8,Solar
756,High Point,Lightsource BP,3.7,Solar
757,Treguff,Lightsource BP,3.7,Solar
758,Week Farm 2,Octopus Investments,3.7,Solar
759,Maesgwyn Solar Farm,Pennant Walters,3.7,Solar
760,Henbury Quarry,Lightsource BP,3.7,Solar
761,Invergarry,SSE,20.0,Hydro
762,Eckland Lodge,Toucan Energy Services,3.7,Solar
763,Chawton,Octopus Investments,3.7,Solar
764,Coltishall 2.4,Greencoat Capital,3.7,Solar
765,Culworth,Anesco,3.6,Solar
766,Brookbarn,Anesco,3.6,Solar
767,Hale,Anesco,3.6,Solar
768,Gelli Gron,Lightsource BP,3.6,Solar
769,Eastacombe,Lightsource BP,3.6,Solar
770,Penhale,Octopus Investments,3.5,Solar
771,Ratcliffe House Farm,Octopus Investments,3.5,Solar
772,Grudie Bridge,SSE,18.7,Hydro
773,Blaby,Octopus Investments,3.5,Solar
774,Wisbech,Cubico Sustainable Investments,3.4,Solar
775,Dairy House Farm,Octopus Investments,3.4,Solar
776,Margate,Greencoat Capital,3.4,Solar
777,Common Farm,Greencoat Capital,3.4,Solar
778,Tope Farm,Anesco,3.3,Solar
779,Willsland,Octopus Investments,3.3,Solar
780,Pitts Farm,Octopus Investments,3.2,Solar
781,Rolls Royce,Toucan Energy Services,3.2,Solar
782,Apse New Barn,Octopus Investments,3.1,Solar
783,Mossford,SSE,18.7,Hydro
784,Wraysbury,Greencoat Capital,3.0,Solar
785,Palmersford,Anesco,3.0,Solar
786,MopleyCadland,Octopus Investments,3.0,Solar
787,Cranham,Toucan Energy Services,3.0,Solar
788,Higher Trenhayle,Octopus Investments,2.9,Solar
789,Great Knowles,Lightsource BP,2.9,Solar
790,Grimsargh,Anesco,2.9,Solar
791,Sandys Moor,Anesco,2.9,Solar
792,Hill End Farm,Octopus Investments,2.8,Solar
793,Dunkeswell,Toucan Energy Services,2.8,Solar
794,Shin,SSE,18.6,Hydro
795,Sharland Farm,Lightsource BP,2.8,Solar
796,Woodtown,Anesco,2.7,Solar
797,Snettisham,Greencoat Capital,2.7,Solar
798,Mendennick,REG WindPower,2.6,Solar
799,Otherton,Toucan Energy Services,2.5,Solar
800,Carver Hey,Greencoat Capital,2.5,Solar
801,Corntown,Octopus Investments,2.5,Solar
802,Bourne Park 2,Anesco,2.4,Solar
803,Stud Farm,Anesco,2.4,Solar
804,Pilkington,Lightsource BP,2.3,Solar
805,Quoich,SSE,18.1,Hydro
806,Hollamoor,Octopus Investments,2.2,Solar
807,Wick Road CIC,Greencoat Capital,2.2,Solar
808,Wymeswold,Anesco,2.1,Solar
809,Dunsfold,Lightsource BP,2.0,Solar
810,Morfa,Lightsource BP,2.0,Solar
811,Stables,Anesco,2.0,Solar
812,Luson,Renewable Energy Solutions Services,1.9,Solar
813,Sandhill,Lightsource BP,1.9,Solar
814,Sea View,Greencoat Capital,1.9,Solar
815,New Kaine,Anesco,1.8,Solar
816,Orrin,SSE,18.0,Hydro
817,Slaughtergate,Octopus Investments,1.8,Solar
818,Craymarsh,Octopus Investments,1.8,Solar
819,Kia-ora Farm,Renewable Energy Solutions Services,1.8,Solar
820,Walton,Lightsource BP,1.8,Solar
821,Pierces Farm,Anesco,1.7,Solar
822,Benbole,Lightsource BP,1.7,Solar
823,Trevemper,Lightsource BP,1.7,Solar
824,Moor Solar 1,Lightsource BP,1.7,Solar
825,Promens,Lightsource BP,1.6,Solar
826,Limberlost,Anesco,1.6,Solar
827,Culligran,SSE,17.1,Hydro
828,Pont Andrew,Lightsource BP,1.5,Solar
829,Higher Knapp Farm,Octopus Investments,1.5,Solar
830,Crossness,Lightsource BP,1.5,Solar
831,Copley Wood,British Solar Renewables,1.5,Solar
832,Clann Farm,Octopus Investments,1.5,Solar
833,Tredown Farm,Octopus Investments,1.4,Solar
834,Wheal Jane,Lightsource BP,1.4,Solar
835,Blatchworthy,Lightsource BP,1.4,Solar
836,Ellicombe,Octopus Investments,1.3,Solar
837,Yeowood,Renewable Energy Solutions Services,1.2,Solar
838,Dolgarrog High Head,RWE Npower,17.0,Hydro
839,Higher Pirzwell,Renewable Energy Solutions Services,1.2,Solar
840,Southcombe Farm,Octopus Investments,1.2,Solar
841,Barton,Renewable Energy Solutions Services,1.2,Solar
842,Bristol Water,Anesco,1.1,Solar
843,Broadgate,Renewable Energy Solutions Services,1.1,Solar
844,Moor Solar 2,Lightsource BP,1.1,Solar
845,Stables Farm,Renewable Energy Solutions Services,1.0,Solar
846,West Bradley,Lightsource BP,1.0,Solar
847,Rudge Hill Farm,Lightsource BP,1.0,Solar
848,Palfreys Barton,Octopus Investments,1.0,Solar
849,St Fillans,SSE,16.8,Hydro
850,Markinch CHP,RWE Npower,65.0,Biomass
851,Spring Lane,Anesco,1.0,Solar
852,Fen Farm 1,Ecotricity,0.9,Solar
853,Whiddon Farm,Octopus Investments,0.9,Solar
854,North Perrott Fruit Farm,Octopus Investments,0.8,Solar
855,Summerlands,Lightsource BP,0.8,Solar
856,Manor Farm 2,Lightsource BP,0.8,Solar
857,Howbery,Lightsource BP,0.7,Solar
858,Edinburgh College,SSE,0.6,Solar
859,Slepe Farm,Anesco,0.5,Solar
860,Beckton,Lightsource BP,0.5,Solar
861,Finlarig,SSE,16.5,Hydro
862,SSE Arena Belfast,SSE,0.4,Solar
863,Bourne Park 1,Anesco,0.2,Solar
864,Connahs Quay,Uniper UK,1380.0,Gas
865,Knapton,Third Energy UK Gas,42.0,Gas
866,Barkip,SSE,2.1,Waste
867,Runcorn EfW,Viridor Waste Management,91.0,Waste
868,Riverside,Riverside Resource Recovery,80.0,Waste
869,Edmonton,LondonEnergy,50.0,Waste
870,Wilton 11 EfW,Sembcorp Utilities,49.0,Waste
871,Lakeside EfW,Viridor Waste Management,37.0,Waste
872,Livishie,SSE,15.0,Hydro
873,SELCHP ERF,Veolia,35.0,Waste
874,Cardiff EfW,Viridor Waste Management,30.0,Waste
875,Ardley EfW,Viridor Waste Management,26.0,Waste
876,Bolton EfW,Viridor Waste Management,8.0,Waste
877,Peterborough EfW,Viridor Waste Management,7.3,Waste
878,Exeter EfW,Viridor Waste Management,3.5,Waste
879,London Array,E.ON UK,630.0,Wind
880,Gwynt y Mor,RWE Npower,576.0,Wind
881,Race Bank,Orsted,573.0,Wind
882,Hornsea 1,Orsted,546.0,Wind
883,Nant,SSE,15.0,Hydro
884,Greater Gabbard,SSE,504.0,Wind
885,Rampion,E.ON UK,400.0,Wind
886,West of Duddon Sands,Orsted,388.8,Wind
887,Walney 1 2,Orsted,368.0,Wind
888,Galloper,RWE Npower,352.8,Wind
889,Walney 3,Orsted,330.0,Wind
890,Walney 4,Orsted,329.0,Wind
891,Thanet,Vattenfall,300.0,Wind
892,Beatrice,SSE,273.0,Wind
893,Lincs,Orsted,270.0,Wind
894,Pitlochry,SSE,15.0,Hydro
895,Burbo Extension,Orsted,259.0,Wind
896,Humber Gateway,E.ON UK,219.0,Wind
897,Westermost Rough,Orsted,210.0,Wind
898,Gunfleet Sands 1 2,Orsted,172.8,Wind
899,Sheringham Shoal 1,Scira Offshore Energy,158.4,Wind
900,Sheringham Shoal 2,Scira Offshore Energy,158.4,Wind
901,Ormonde,Vattenfall,150.0,Wind
902,Dudgeon 1,Scira Offshore Energy,108.0,Wind
903,Dudgeon 3,Scira Offshore Energy,102.0,Wind
904,Dudgeon 4,Scira Offshore Energy,102.0,Wind
905,Torr Achilty,SSE,15.0,Hydro
906,Inner Dowsing,XceCo,97.2,Wind
907,Lynn,XceCo,97.2,Wind
908,Aberdeen,Vattenfall,96.8,Wind
909,Barrow,Orsted,90.0,Wind
910,Burbo,Orsted,90.0,Wind
911,Dudgeon 2,Scira Offshore Energy,90.0,Wind
912,Kentish Flats,Vattenfall,90.0,Wind
913,Rhyl Flats,RWE Npower,90.0,Wind
914,Robin Rigg East,E.ON UK,90.0,Wind
915,Robin Rigg West,E.ON UK,90.0,Wind
916,Dolgarrog Low Head,RWE Npower,15.0,Hydro
917,North Hoyle,RWE Npower,60.0,Wind
918,Scroby Sands,E.ON UK,60.0,Wind
919,Kentish Flats Extension,Vattenfall,49.5,Wind
920,Blyth,EDF Energy,40.0,Wind
921,Hywind 1,Scira Offshore Energy,30.0,Wind
922,Gunfleet Sands 3,Orsted,12.0,Wind
923,Whitelee,Scottish Power,322.0,Wind
924,Kilgallioch,Scottish Power,239.0,Wind
925,Pen Y Cymoedd,Vattenfall,228.0,Wind
926,Stronelairg,SSE,227.7,Wind
927,Earlstoun,Drax Power,14.0,Hydro
928,Whitelee II,Scottish Power,217.0,Wind
929,Clyde (North),SSE,197.7,Wind
930,Clyde (Central),SSE,195.9,Wind
931,Griffin,SSE,188.6,Wind
932,Dorenell,EDF Energy,177.0,Wind
933,Fallago Rig,EDF Energy,144.0,Wind
934,Crystal Rig II,Fred Olsen Renewables,138.0,Wind
935,Harestanes,Scottish Power,136.0,Wind
936,Clyde (South),SSE,128.8,Wind
937,Black Law,Scottish Power,124.2,Wind
938,Rheidol Hydro Scheme Gen 1,Statkraft,13.5,Hydro
939,Arecleoch,Scottish Power,120.0,Wind
940,Hadyard Hill,SSE,119.8,Wind
941,Beinneun,BayWa R.E,108.8,Wind
942,Bhlaraidh,SSE,108.0,Wind
943,Dunmaglass,SSE,94.1,Wind
944,Farr,Venitent Energy Services,92.0,Wind
945,Mid Hill,Fred Olsen Renewables,75.9,Wind
946,Slieve Kirk,SSE,73.6,Wind
947,Braes of Doune,Greencoat Capital,72.0,Wind
948,Gordonbush,SSE,70.0,Wind
949,Carsfad,Drax Power,12.0,Hydro
950,Corriegarth,WPO,69.0,Wind
951,Dersalloch,Scottish Power,69.0,Wind
952,Lochluichart,Eneco Wind UK,69.0,Wind
953,Keadby 2,SSE,68.0,Wind
954,Kilbraur,Falck Renewables,67.5,Wind
955,Berry Burn,Statkraft,67.0,Wind
956,Strathy North,SSE,66.0,Wind
957,Millennium,Falck Renewables,65.0,Wind
958,Scout Moor,WPO,65.0,Wind
959,Pauls Hill,Fred Olsen Renewables,64.4,Wind
960,Bonnington,Drax Power,11.0,Hydro
961,Ely,EPR,40.0,Biomass
962,Black Law II,Scottish Power,63.4,Wind
963,Crystal Rig I,Fred Olsen Renewables,62.5,Wind
964,Brockloch Rig 2,Fred Olsen Renewables,61.5,Wind
965,Moy,Eneco Wind UK,60.0,Wind
966,Little Cheyne Court,RWE Npower,59.8,Wind
967,Cambrian,Falck Renewables,58.5,Wind
968,Brechfa Forest West,RWE Npower,57.4,Wind
969,Mark Hill,Scottish Power,56.0,Wind
970,Galawhistle,Venitent Energy Services,55.2,Wind
971,Ray,Vattenfall,54.4,Wind
972,Cashlie,SSE,11.0,Hydro
973,Middlemoor,RWE Npower,54.0,Wind
974,Blackcraig,Temporis Capital,52.9,Wind
975,Baillie,Statkraft,52.5,Wind
976,Rothes,Fred Olsen Renewables,50.6,Wind
977,Frodsham,Peel Energy,50.4,Wind
978,Camster,E.ON UK,50.0,Wind
979,Corriemoillie,EDF Energy,48.5,Wind
980,Causeymire,Venitent Energy Services,48.3,Wind
981,Hill of Towie,RES Group,48.3,Wind
982,Brockaghboy,Greencoat Capital,47.5,Wind
983,Cassley,SSE,10.0,Hydro
984,Pant y Wal,Pennant Walters,47.5,Wind
985,Tween Bridge,E.ON UK,44.0,Wind
986,Beinn an Tuirc II,Scottish Power,43.7,Wind
987,AChruach,Venitent Energy Services,42.6,Wind
988,Edinbane,Vattenfall,41.4,Wind
989,Rothes II,Fred Olsen Renewables,41.4,Wind
990,Fairburn,SSE,40.0,Wind
991,Airies,WPO,39.9,Wind
992,Achany Windfarm,SSE,38.0,Wind
993,Longpark,EDF Energy,38.0,Wind
994,Cwm Dyli,RWE Npower,9.9,Hydro
995,Tormywheel,REG WindPower,37.5,Wind
996,Clashindarroch,Vattenfall,36.9,Wind
997,Ewe Hill II,Scottish Power,36.8,Wind
998,Minsca,Venitent Energy Services,36.8,Wind
999,Novar 2,RWE Npower,36.8,Wind
1000,Auchrobert,Falck Renewables,36.0,Wind
1001,Green Rigg,EDF Energy,36.0,Wind
1002,Andershaw,Statkraft,35.0,Wind
1003,Earlsburn,Falck Renewables,35.0,Wind
1004,Goole Fields B,RWE Npower,34.9,Wind
1005,Striven,SSE,8.0,Hydro
1006,Tievenameenta,SSE,34.5,Wind
1007,Carno,Venitent Energy Services,33.6,Wind
1008,Goole Fields A,RWE Npower,33.0,Wind
1009,Mynydd y Gwair,RWE Npower,32.8,Wind
1010,Drumderg,SSE,32.0,Wind
1011,Ffynnon Oer,Venitent Energy Services,32.0,Wind
1012,Beckburn,EDF Energy,31.1,Wind
1013,Penrhyddlan Llidiartywaun,Scottish Power,30.6,Wind
1014,Garreg Llwyd,RES Group,30.4,Wind
1015,Black Hill,RES Group,30.1,Wind
1016,Gaur,SSE,7.9,Hydro
1017,Burnfoot,EDF Energy,30.1,Wind
1018,Ardrossan,Venitent Energy Services,30.0,Wind
1019,Dalswinton,Venitent Energy Services,30.0,Wind
1020,Slieve Divena 1,Greencoat Capital,30.0,Wind
1021,West Browncastle,Falck Renewables,30.0,Wind
1022,Lissett Airfield,Venitent Energy Services,30.0,Wind
1023,Stroupster,Greencoat Capital,29.9,Wind
1024,Beinn Tharsuinn,Scottish Power,29.8,Wind
1025,Cruach Mhor,Scottish Power,29.8,Wind
1026,Dun Law II,Scottish Power,29.8,Wind
1027,Fasnakyle Comp Set,SSE,7.7,Hydro
1028,Hare Hill II,Scottish Power,29.8,Wind
1029,Beinn an Tuirc I,Scottish Power,29.7,Wind
1030,Penmanshiel,RES Group,28.7,Wind
1031,Artfield Fell,SSE,28.6,Wind
1032,Drone Hill,Greencoat Capital,28.6,Wind
1033,Tappaghan,Greencoat Capital,28.5,Wind
1034,Kelburn,RES Group,28.0,Wind
1035,Ben Aketil,Falck Renewables,27.6,Wind
1036,Toddleburn,SSE,27.6,Wind
1037,Green Knowes,Scottish Power,27.0,Wind
1038,Allt-na-Lairige,SSE,6.0,Hydro
1039,Glens of Foudland,REG WindPower,26.7,Wind
1040,Bad a Cheo,RWE Npower,26.7,Wind
1041,Altahullion,RES Group,26.0,Wind
1042,Bicker Fen,EDF Energy,26.0,Wind
1043,Burnhead Moss,EDF Energy,26.0,Wind
1044,Dungavel,John Laing Environmental Asset Group,26.0,Wind
1045,Hagshaw Hill II,Scottish Power,26.0,Wind
1046,Lynemouth 1,Scottish Power,26.0,Wind
1047,Maesgwyn,Pennant Walters,26.0,Wind
1048,Wadlow,RES Group,26.0,Wind
1049,Kielder,RWE Npower,6.0,Hydro
1050,Wryde Croft,RES Group,26.0,Wind
1051,Glenchamber,RES Group,25.3,Wind
1052,Llynfi Afan,John Laing Environmental Asset Group,25.3,Wind
1053,Assel Valley,Falck Renewables,25.0,Wind
1054,Castle Craig,RES Group,25.0,Wind
1055,Gruig,RES Group,25.0,Wind
1056,Minnygap,RES Group,25.0,Wind
1057,Rosehall,E.ON UK,25.0,Wind
1058,Twinshiels,Eneco Wind UK,25.0,Wind
1059,Craigengelt (Scotia Wind),Engie Power,24.0,Wind
1060,Loch Gair,SSE,6.0,Hydro
1061,Hall Farm,John Laing Environmental Asset Group,24.0,Wind
1062,Maerdy,Greencoat Capital,24.0,Wind
1063,Red Tile,EDF Energy,24.0,Wind
1064,Rusholme,EDF Energy,24.0,Wind
1065,Alltwalis,Statkraft,23.0,Wind
1066,Burn of Whilk,Eneco Wind UK,22.5,Wind
1067,Freasdail,RES Group,22.5,Wind
1068,Kingsburn,Falck Renewables,22.5,Wind
1069,Mynydd Bwllfa,Pennant Walters,22.5,Wind
1070,Glenapp,Scottish Power,22.0,Wind
1071,Stonebyres,Drax Power,6.0,Hydro
1072,Wilton 1,Sembcorp Utilities,33.3,Biomass
1073,Glenkerie,Venitent Energy Services,22.0,Wind
1074,North Rhins,Greencoat Capital,22.0,Wind
1075,Swinford,Vattenfall,22.0,Wind
1076,Brockloch Rig 1,Fred Olsen Renewables,21.6,Wind
1077,Tir Mostyn Foel Goch,WPO,21.3,Wind
1078,Middlewick,WPO,20.7,Wind
1079,Bradwell,RWE Npower,20.5,Wind
1080,Cour,BayWa R.E,20.5,Wind
1081,Sixpenny Wood,Greencoat Capital,20.5,Wind
1082,Llyn Alaw,Venitent Energy Services,20.4,Wind
1083,Foyers Falls,SSE,5.2,Hydro
1084,Biggleswade,Temporis Capital,20.0,Wind
1085,Carland Cross RP,Scottish Power,20.0,Wind
1086,Pant y Wal Extension,Pennant Walters,20.0,Wind
1087,Screggagh,Greencoat Capital,20.0,Wind
1088,Stags Holt,E.ON UK,20.0,Wind
1089,An Suidhe,RWE Npower,19.3,Wind
1090,Pearie Law,EDF Energy,19.2,Wind
1091,Slieve Divena 2,SSE,18.8,Wind
1092,Tangy,SSE,18.5,Wind
1093,North Steads,Venitent Energy Services,18.5,Wind
1094,Sron Mor,SSE,5.0,Hydro
1095,Kildrummy,Greencoat Capital,18.4,Wind
1096,Wether Hill,Scottish Power,18.2,Wind
1097,Altaveedan,WPO,18.0,Wind
1098,Den Brook,RES Group,18.0,Wind
1099,Ovenden Moor,E.ON UK,18.0,Wind
1100,Tullo,Eneco Wind UK,17.5,Wind
1101,Turncole,RES Group,17.5,Wind
1102,Dun Law I,Scottish Power,17.2,Wind
1103,Batsworthy Cross,REG WindPower,17.1,Wind
1104,Roos,RES Group,17.1,Wind
1105,Dalchonzie,SSE,4.0,Hydro
1106,Novar,Venitent Energy Services,17.0,Wind
1107,Callagheen,Scottish Power,16.9,Wind
1108,Bishopthorpe,Greencoat Capital,16.4,Wind
1109,Cotton Farm,Greencoat Capital,16.4,Wind
1110,Langhope Rig,Greencoat Capital,16.4,Wind
1111,Yelvertoft,Greencoat Capital,16.4,Wind
1112,Boyndie,Falck Renewables,16.3,Wind
1113,New Albion,John Laing Environmental Asset Group,16.1,Wind
1114,Bagmoor,WPO,16.0,Wind
1115,Coal Clough RP,Scottish Power,16.0,Wind
1116,Lubreoch,SSE,4.0,Hydro
1117,Coldham,Scottish Power,16.0,Wind
1118,Deeping,EDF Energy,16.0,Wind
1119,Earlseat,RES Group,16.0,Wind
1120,Fen Farm 2,Ecotricity,16.0,Wind
1121,Glass Moor,EDF Energy,16.0,Wind
1122,Knabs Ridge,RWE Npower,16.0,Wind
1123,Deucheran Hill,E.ON UK,15.8,Wind
1124,Bowbeat (Emly Bank),E.ON UK,15.6,Wind
1125,Bowbeat (Roughside),E.ON UK,15.6,Wind
1126,Hagshaw Hill I,Scottish Power,15.6,Wind
