id,name,owner,capacity,fuel
130,High Volts RO,E.ON UK,2.8,Wind
131,Holmside,E.ON UK,2.8,Wind
132,Loch Ericht,SSE,2.2,Hydro
133,Holmside RO,E.ON UK,2.8,Wind
134,Crimp,Engie Power,2.7,Wind
135,The Hollies 2,RWE Npower,2.6,Wind
136,Maesgwyn Extension,Pennant Walters,2.5,Wind
137,High Hedley I,EDF Energy,2.4,Wind
138,Rheidol,Venitent Energy Services,2.4,Wind
139,Bogenlea,Greencoat Capital,2.3,Wind
140,Tow Law,Venitent Energy Services,2.3,Wind
141,Cardiff,Ecotricity,2.3,Wind
142,Dewlay (Garstang),WPO,2.0,Wind
143,Culligran Comp Set,SSE,2.0,Hydro
144,Forss,RES Group,2.0,Wind
145,Green Park,Ecotricity,2.0,Wind
146,Ramsey 1,REG WindPower,2.0,Wind
147,Shooters,Ecotricity,2.0,Wind
148,Whittlesey,REG WindPower,2.0,Wind
149,Worksop,Ecotricity,2.0,Wind
150,Winscales I,EDF Energy,2.0,Wind
151,Kirkheaton,EDF Energy,1.8,Wind
152,Somerton,Ecotricity,1.8,Wind
153,Swaffham II,Ecotricity,1.8,Wind
154,Grudie,RWE Npower,2.0,Hydro
155,Roskrow Barton,REG WindPower,1.7,Wind
156,Ecotech,Ecotricity,1.5,Wind
157,FMC Dunfermline,WPO,1.5,Wind
158,Greenvale March,WPO,1.5,Wind
159,Wythegill,WPO,1.5,Wind
160,Mablethorpe,Ecotricity,1.2,Wind
161,Barlborough,REG WindPower,0.8,Wind
162,H+H,Ecotricity,0.8,Wind
163,QEH,Ecotricity,0.8,Wind
164,RSPB,Ecotricity,0.8,Wind
165,Kilmelford,SSE,2.0,Hydro
166,East Kilbride,Ecotricity,0.6,Wind
167,High Down,REG WindPower,0.5,Wind
168,Lynch Knoll,Ecotricity,0.5,Wind
169,Aberthaw B,RWE Npower,1559.0,Coal
170,Coryton,Intergen,800.0,Gas
171,Cottam,EDF Energy,2000.0,Coal
172,Cottam Development Centre,Uniper UK,445.0,Gas
173,Cowes,RWE Npower,140.0,Oil
174,Damhead Creek,Drax Power,805.0,Gas
175,Didcot B,RWE Npower,1450.0,Gas
176,Lochay Comp Set,SSE,2.0,Hydro
177,Enfield,Uniper UK,408.0,Gas
178,Ferrybridge Multi-fuel,Ferrybridge Mulitfuel Energy,80.0,Waste
179,Glanford Brigg,Centrica,99.0,Gas
180,Grain CHP,Uniper UK,1517.0,Gas
181,VPI Immingham,Vitol,1252.0,Gas
182,Killingholme A,Uniper UK,600.0,Gas
183,Killingholme B,Uniper UK,600.0,Gas
184,Kilroot,AES,559.0,Coal
185,Langage,EPUKi,905.0,Gas
186,Lynemouth 2,EPUKi,420.0,Biomass
187,Allt Fionn,Temporis Capital,2.0,Hydro
188,Marchwood,Marchwood Power,898.0,Gas
189,Medway,SSE,755.0,Gas
190,Pembroke,RWE Npower,2199.0,Gas
191,Peterborough,Centrica,245.0,Gas
192,Rocksavage,Intergen,810.0,Gas
193,Saltend,Energy Capital Partners,1200.0,Gas
194,Seabank,Seabank Power,1234.0,Gas
195,Severn Power,Calon Energy,850.0,Gas
196,Shoreham,Drax Power,420.0,Gas
197,South Humber Bank,EPUKi,1365.0,Gas
198,Derrydarroch,Temporis Capital,2.0,Hydro
199,Staythorpe C,RWE Npower,1772.0,Gas
200,Sutton Bridge,Calon Energy,819.0,Gas
201,Teesside,EDF Energy,62.0,Wind
202,Uskmouth Power,SIMEC,230.0,Coal
203,West Burton,EDF Energy,2000.0,Coal
204,Mucomir,SSE,1.9,Hydro
205,Carnoch,RWE Npower,1.4,Hydro
206,Blackburn Meadows,E.On UK,34.0,Biomass
207,Chliostair,SSE,1.3,Hydro
208,Nostie Bridge (plus Comp Set),SSE,1.3,Hydro
209,Kerry Falls,SSE,1.3,Hydro
210,Rheidol Hydro Scheme Gen 4,Statkraft,1.3,Hydro
211,Loch Dubh,SSE,1.2,Hydro
212,Drumjohn,Drax Power,1.0,Hydro
213,Inverbain,RWE Npower,1.0,Hydro
214,Upper Falloch,Temporis Capital,0.9,Hydro
215,Awe Barrage - A,SSE,0.9,Hydro
216,Glen Tarbert,RWE Npower,0.9,Hydro
217,Ratcliffe,Uniper UK,2021.0,Coal
218,Stanley Mill,RWE Npower,0.8,Hydro
219,Garry Gualach,RWE Npower,0.8,Hydro
220,Morar,SSE,0.8,Hydro
221,Selset,RWE Npower,0.8,Hydro
222,Gisla,SSE,0.7,Hydro
223,Auchtertyre,RWE Npower,0.6,Hydro
224,Blantyre,RWE Npower,0.6,Hydro
225,Garnedd,RWE Npower,0.6,Hydro
226,Loyne Tunnel,SSE,0.6,Hydro
227,Trinafour,SSE,0.6,Hydro
228,Fiddlers Ferry,SSE,1961.0,Coal
229,Croesor,RWE Npower,0.5,Hydro
230,Dulyn,RWE Npower,0.5,Hydro
231,Duchally,SSE,0.5,Hydro
232,Misgeach,SSE,0.4,Hydro
233,Cluanie Dam,SSE,0.3,Hydro
234,Quoich Dam,SSE,0.3,Hydro
235,Vaich,SSE,0.3,Hydro
236,Tobermory,SSE,0.3,Hydro
237,Orrin Dam,SSE,0.3,Hydro
238,Invergarry Dam,SSE,0.2,Hydro
239,Drax - coal units,Drax Power,1320.0,Coal
240,Cladach Dam,SSE,0.2,Hydro
241,Stronuich,SSE,0.2,Hydro
242,Clunie Dam,SSE,0.2,Hydro
243,Beannachran Dam,SSE,0.2,Hydro
244,Dundreggan Dam,SSE,0.2,Hydro
245,Rheidol Hydro Scheme Gen 7,Statkraft,0.1,Hydro
246,Shin Diversion Dam,SSE,0.1,Hydro
247,Luichart Dam,SSE,0.1,Hydro
248,Tralaig,SSE,0.1,Hydro
249,Kilmelford Comp Set,SSE,0.1,Hydro
250,Taylors Lane GT,Uniper UK,144.0,Oil
251,Meig Dam,SSE,0.1,Hydro
252,Rheidol Hydro Scheme Gen 5,Statkraft,0.1,Hydro
253,Pitlochry Comp Set,SSE,0.1,Hydro
254,Lochay Fish Pass,SSE,0.1,Hydro
255,Rheidol Hydro Scheme Gen 6,Statkraft,0.1,Hydro
